,question,text
77,"For which song, did Destiny's Child take home the grammy award for best R&B performance?","""Say My Name"""
78,"Who did Beyonce record with for the movie ""The Best Man?""",Marc Nelson
79,Beyonce's group changed their name to Destiny's Child in what year?,1996
80,The name Destiny's Child was based on a quote in which book of the Bible?,Book of Isaiah
81,"Debut song, ""Killing Time"" was featured on what movie's sound track?",Men in Black
82,What song won Best R&B Performance in the 43 Annual Grammy Awards?,Say My Name
83,"What singer did Beyonce record a song with for the movie, ''The Best Man""?",Marc Nelson
84,Where did Destiny's Child get their name from?,Book of Isaiah.
85,"Destiny's Child song, Killing Time, was included in which film's soundtrack?",Men in Black.
86,What was Destiny's Child's first major song hit?,"No, No, No"
87,When did Destiny's Child release their second album?,1999
88,"Who did Beyoncé sing a duet with for ""The Best Man"" film?",Marc Nelson
89,What mental health issue did Beyonce go through?,depression
90,What event occured after she was publicly criticized?,boyfriend left her
91,Who supported Beyonce through her depression?,her mother
92,What event caused Beyonce's depression?,split with Luckett and Rober
93,How long was Beyonce depressed?,a couple of years
94,Who helped Beyonce fight her depression the most?,her mother
95,Who replaced Luckett and Roberson in Destiny's Child?,Farrah Franklin and Michelle Williams.
96,Who was blamed for Luckett and Roberson leaving Destiny's Child?,Beyoncé
97,Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,her mother
98,Which newest member was removed from Destiny's Child?,Farrah Franklin
99,"""Charlie's Angels"" featured which single from the band members?",Independent Women Part I
100,"How many weeks did their single ""Independent Women Part I"" stay on top?",eleven
101,"For what network, did Beyonce land a major movie role in?",MTV
102,"Their third album, Survivor, sold how many during its first week?","663,000 copies"
103,What French composer wrote the original opera ''Carmen'' in the 19th century?,Georges Bizet
104,What album caused a lawsuit to be filed in 2001?,Survivor
105,Independent Women Part I was on which 2000 film's soundtrack?,Charlie's Angels.
106,Which film did Beyoncé star in 2001 with Mekhi Phifer?,Carmen: A Hip Hopera
107,What was the name of Destiny Child's third album?,Survivor
108,Who filed a lawsuit over Survivor?,Luckett and Roberson
109,When did Destiny's Child announce their hiatus?,October 2001
110,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",Mike Myers
111,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?","UK, Norway, and Belgium"
112,Beyonce starred with Cuba Gooding Jr. in which film?,The Fighting Temptations
113,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",Missy Elliott
114,Which other song from the soundtrack did better in the charts?,Summertime
115,What film did Beyonce appear in with Mike Myers?,Austin Powers in Goldmember
116,"What large amount did the movie ""Goldmember"" gross?",73 million
117,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",musical comedy
118,What song was the lead single from the film's sound track?,Fighting Temptations
119,"How did the critics view the movie, ''The Fighting Temptations''?",mixed reviews
120,What film did Beyoncé star in with Mike Myers in 2002?,Austin Powers in Goldmember
121,What was Beyoncé's character called in Austin Powers in Goldmember?,Foxxy Cleopatra
122,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,Work It Out
123,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",The Fighting Temptations
124,What song did Beyoncé release as the lead single from The Fighting Tempations?,Fighting Temptations
125,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,number four
126,Beyonce's first album by herself was called what?,Dangerously in Love
127,"How many has ""Dangerously in Love"" sould worldwide since its debut?",11 million
128,Beyonce's first number one song was which song?,Crazy in Love
129,How many top five singles came from her first album?,four
130,Beyonce's first solo album in the U.S. with what artist in the lead single?,Jay Z
131,What solo album did Beyonce release in 2003?,Dangerously in Love
132,"The album, Dangerously in Love  achieved what spot on the Billboard Top 100 chart?",number four
133,"""The Closer I get to You"" was recorded with which artist?",Luther Vandross
134,Which artist was associated with Beyoncé's premiere solo recording?,Jay Z
135,When did Beyoncé release her first solo album?,"June 24, 2003"
136,What is the lead single on Beyoncé's first album?,Crazy in Love
137,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,Luther Vandross.
138,How many awards did Beyoncé win at the 46th Grammy's Awards?,five.
139,Destiny's Child's final album was named what?,Destiny Fulfilled
140,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,2006
141,In what year did Beyonce embark on her Dangerously in Love tour of Europe?,November 2003
142,What was the name of the final album of Destiny's Child?,Destiny Fulfilled
143,It was announced that Destiny's Child would  disban in what European city?,Barcelona
144,When did Destiny's Child get their star on the Hollywood Walk of Fame?,March 2006
145,What was the name of Beyoncé's European start that started in November 2003?,Dangerously in Love Tour
146,Who did Beyoncé tour with for the Verizon Lades First Tour?,Missy Elliott and Alicia Keys
147,"What major event did Beyoncé perform at on February 1, 2004?",Super Bowl XXXVIII
148,What is the name of the final studio album from Destiny's Child?,Destiny Fulfilled.
149,How many albums did Beyonce sell in the first week when she released her second album?,"5,41,000"
150,The lead single from the album was which song?,Déjà Vu
151,"How many countries did her song ""Irreplaceable"" get number one status in?",five
152,How many singles did her second album produce?,five
153,What birthday did Beyonce's album B'Day celebrate?,twenty-fifth birthday
154,"What artist did Beyonce duet with in the single, ""Deja Vu''?",Jay Z
155,How high did ''Deja Vu'' climb on the Billboard chart?,top five
156,What is the name of Beyoncé's second album?,B'Day
157,How many copies did B'Day sell during the first week of its release?,"5,41,000"
158,"Who collaborated with Beyoncé on the single, Deja Vu?",Jay Z
159,Which single from B'Day was only released in the U.K.?,Green Light
160,What movie did Beyonce act in 2006?,The Pink Panther
161,Her second movie Beyonce did was what film?,Dreamgirls
162,"The single, ""Listen"" was featured in which movie?",Dreamgirls
163,Beyonce's first world tour was when?,2007
164,How much money did Beyonce's tour make in 2007?,24 million
165,How many millions of dollars did ''The Pink Panther'' gross world-wide?,158.8 million
166,What did Beyonce call her first concert tour?,The Beyoncé Experience
167,Who was Beyonce's duet with in ''Beautiful Liar''?,Shakira
168,Which film did Beyoncé star with Steve Martin in?,The Pink Panther
169,Beyoncé's role in Dreamgirls was based on what pop singer?,Diana Ross.
170,What was the lead single for the Dreamgirls soundtrack?,Listen
171,What was the name of Beyoncé's first international tour?,The Beyoncé Experience
172,What pop singer did a duet with Beyoncé on Beautiful Liar?,Shakira
173,Beyonce got married in 2008 to whom?,Jay Z
174,"Her third album, ""I am...Sasha Fierce"" was released when?","November 18, 2008"
175,"For which decade, did Beyonce have more top ten songs than any other woman?",2000s
176,Which singer beat out Beyonce for best video performance?,Taylor Swift
177,"In 2009, Beyonce started her second world tour and grossed how much money?",119.5 million
178,How did she reveal the marriage?,in a video montage
179,When did Beyonce begin her second world tour?,March 2009
180,Who beat out Beyonce for Best Female Video ?,Taylor Swift
181,How much did the second world tour make in dollars?,119.5 million
182,When did Beyoncé get married?,"April 4, 2008"
183,Who did Beyoncé marry?,Jay Z.
184,Who is Beyoncé's alter ego?,Sasha Fierce
185,The video for what song won Beyoncé the 2009 MTV Video of the Year award?,Single Ladies
186,Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,Kanye West
187,"Beyonce portrayed which character in the film, Cadillac Records?",Etta James
188,Beyonce gave her entire salary from Cadillac Records to which organization?,Phoenix House
189,Which song did Beyonce sing at the first couple's inaugural ball? ,At Last
190,"What genre of film was the movie, Obsessed, in which Beyonce starred in?",thriller
191,"A fight scene from the movie, Obsessed, won which award for Beyonce?",MTV Movie Award for Best Fight
192,Where did Beyonce donate her salary from the movie Cadillac Records?,Phoenix House
193,What thriller film did Beyonce star in?,Obsessed
194,What was the name of the woman she played in Obsessed?,Sharon Charles
195,How much more that the buget did the film gross?,60 million
196,Which singer did Beyoncé portray in Cadillac Records?,Etta James
197,Which organization received Beyoncé's entire Cadillac Records salary?,Phoenix House
198,"Where did Beyoncé perform on January 20, 2009?",the First Couple's first inaugural ball.
199,Which thriller film did Beyoncé star in with Ali Larter?,Obsessed.
200,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,ten
201,Beyonce tied with which artist for most nominations by a female artist?,Lauryn Hill
202,"In 2010, Beyonce worked with which other famous singer?",Lady Gaga
203,"How many number one singles did Beyonce now have after the song ""Telephone""?",six
204,Beyonce tied who for most number one singles by a female?,Mariah Carey
205,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,ten nominations
206,What song was the sixth first place song for Beyonce?,Telephone
207,Who else appeared with Beyonce in Telephone?,Lady Gaga
208,Who did they tie with for six top songs?,Mariah Carey
209,Who did Beyonce tie with for the most nominations in a year?,Lauryn Hill
210,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,ten
211,Who did Beyoncé tie with for the most Grammy nominations for female artists?,Lauryn Hill
212,"Beyoncé was a featured artist on which singer's hit, Telephone?",Lady Gaga
213,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,Mariah Carey
214,Beyonce would take a break from music in which year?,2010
215,Which year did Beyonce and her father part business ways?,2010
216,Which famous landmark did Beyonce see in China?,the Great Wall of China
217,In what year did Beyonce have her hiatus?,2010
218,Who inspired this hiatus?,her mother
219,When did she stop using her father as a manager?,During the break
220,How long did the hiatus last?,nine months
221,What did Beyoncé announce in January 2010?,a hiatus
222,Who suggested the hiatus for Beyoncé?,her mother
223,Who did Beyoncé part ways with during her hiatus?,her father
224,How long did her hiatus last?,nine months
225,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,2011
226,Who did Beyonce donate the money to earned from her shows?,Clinton Bush Haiti Fund
227,Beyonce became the first female artist to perform solo in 20 years at which stage?,the 2011 Glastonbury Festival
228,Which organization did Beyonce's spokespeople confirm her donations to?,The Huffington Post
229,Beyonce was listed in 2011 as the highest paid performer per what?,minute
230,Hoe did everyone learn that Beyonce performed for Kaddafi?,documents obtained by WikiLeaks
231,When did this leak happen?,2011
232,Who did she tell about the donation?,The Huffington Post
233,Where did Beyonce perform in 2011?,Glastonbury Festival
234,Who did Beyoncé perform privately for in 2011?,Muammar Gaddafi.
235,Who released the information about Beyoncé's performance for the Libyan ruler?,WikiLeaks
236,Which organization did Beyoncé donate her pay for the private performance to?,Clinton Bush Haiti Fund.
237,Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,Pyramid stage
238,Beyonce's fourth album debuted in what year?,2011
239,Which single had the most success from that album?,Love on Top
240,Beyonce won an award for which activity in 2011?,writing
241,"in 2011, Beyonce performed for four nights where?",New York's Roseland Ballroom
242,When was Beyonce's forth album released?,"June 28, 2011"
243,How many copies did the album sell in its first week?,"310,000 copies"
244,Who awarded Beyonce and award for writing?,New York Association of Black Journalists
245,When did she perform at the Roseland ballroom?,2011
246,What is the name of Beyoncé's fourth studio album?,4
247,When was 4 released?,"June 28, 2011"
248,How many copies of 4 sold in the first week?,"3,10,000"
249,What magazine did Beyoncé write a story for about her earlier hiatus?,Essence
250,Where did Beyoncé perform for four nights of standing room only concerts in 2011?,New York's Roseland Ballroom
251,When did Beyonce have her first child?,"January 7, 2012"
252,Where did Beyonce give birth to her first child?,Lenox Hill Hospital
253,Beyonce's first child is named what?,Blue Ivy Carter
254,Her first appearance performing since giving birth was where?,Revel Atlantic City's Ovation Hall
255,When did Beyonce have her first child?,"January 7, 2012"
256,What was the child's name?,Blue Ivy Carter
257,How long was it after the birth of her child before she performed again?,Five months
258,How many nights did she perform at Atlantic City?,four nights
259,When did Beyoncé give birth to a daughter?,"January 7, 2012"
260,What did Beyoncé name her daughter?,Blue Ivy Carter
261,Where was Blue Ivy born?,Lenox Hill Hospital in New York.
262,Where was Beyoncé's first public performance after giving birth?,Revel Atlantic City's Ovation Hall
263,How many nights did Beyoncé play at the resort?,four
264,Destiny's Child released a compilation album about which topic?,romance
265,Beyonce's documentary movie was called what?,Life Is But a Dream
266,What did Beyonce sign in 2013?,global publishing agreement
267,"When did Destiny's Child release its album ""Love Songs""?",January 2013
268,What was the title of the added track in Love Songs?,Nuclear
269,At whose inauguration did she perform the National Anthem?,President Obama
270,How many Tweets per minute did the half time show get?,"268,000 tweets per minute"
271,When did Destiny's Child release Love Songs?,January 2013
272,What was the new track for Love Songs?,Nuclear
273,What did Beyoncé sing at President Obama's second inauguration?,the American national anthem
274,What event did Beyoncé perform at one month after Obama's inauguration? ,Super Bowl XLVII halftime show
275,What is the name of Beyoncé's documentary film?,Life Is But a Dream
276,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",132
277,One of Beyonce's most successful tours yet was which one?,The Mrs. Carter Show
278,"Beyonce wrote which song for the movie ""Epic""?",Rise Up
279,Beyonce voiced a character in which animated film?,Epic
280,When did the tour begin?,April 15
281,Of what event was Beyonce honorary chair?,2013 Met Gala
282,What part did she voice for the movie Epic?,Queen Tara
283,What song did Beyonce record for the film Epic?,Rise Up
284,What was the name of Beyoncé's tour that she started on April 15?,The Mrs. Carter Show World Tour
285,How many dates did the Mrs. Carter Show World Tour have?,132
286,Which Amy Winehouse song did Beyoncé cover and release in May 2014?,Back to Black
287,Beyoncé was an honorary chair of the 2013 what?,Met Gala.
288,"Which character in the film, Epic, was voiced by Beyoncé?",Queen Tara
289,Where did Beyonce release her 5th album to a huge surprise?,the iTunes Store
290,When did Beyonce get her fifth consecutive number one hit album?,"December 13, 2013"
291,Where was the album released? ,the iTunes Store
292,Who joined Beyonce on her On The Run Tour?,Jay Z
293,Who reported Beyonce to e the top earning woman in music?,Forbes
294,How much more were her earnings that the year before?,more than double her earnings
295,When did Beyoncé release her fifth studio album?,"December 13, 2013"
296,How many digital copies of her fifth album did Beyoncé sell in six days?,one million
297,What song on Beyoncé's fifth studio album featured her husband?,Drunk in Love
298,What was the name of the tour featuring both Beyoncé and Jay Z?,On the Run Tour.
299,How many awards did Beyonce take home with her at the 57th Grammy Awards?,three
300,Which artist beat Beyonce out for Album of the year?,Beck
301,Which magazine did Beyonce pose on the cover for in August of 2015?,Vogue
302,Beyonce would perform with who at Superbowl 50?,Coldplay
303,Beyonce took home how many awards at the 57th Grammy Awards?,three
304,Beyonce lost to which artist for Album of the year?,Beck
305,Who did Beyonce perform next to during Superbowl 50?,Coldplay
306,"If Beyonce won three Grammies in 2015, how many was she nominated for?",six awards
307,On what magazine was she the cover model?,Vogue
308,Who would she perform with at Superbowl 50?,Coldplay
309,With what British band did Beyonce perform on their album?,Coldplay
310,How many awards was Beyoncé nominated for at the 57th annual Grammys?,six
311,How many awards did Beyoncé win at the 57th Annual Grammys?,three
312,Beyoncé lost the Album of the Year award to which entertainer?,Beck
313,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Vogue
314,Who did Beyonce perform with at Super Bowl 50?,Coldplay
315,"Beyonce released the song ""Formation"" on which online music service?",Tidal
316,Beyonce's new single released before the super bowl was called what?,Formation
317,"What day did Beyonce release her single, Formation?","February 6, 2016"
318,How was the single released?,exclusively
319,What was the name of the streaming service?,Tidal
320,What kind of platform was the song released?,music streaming
321,When did Beyoncé release Formation?,"February 6, 2016"
322,"Where did Beyoncé exclusively release her single, Formation?",Tidal
323,"As of April 2014, how many albums have Jay Z and Beyonce sold together?",300 million
324,Where did Beyonce become pregnant?,Paris
325,"Beyonce described what as the ""hardest thing she had to endure""?",miscarriage
326,Who did Beyonce have a relationship with?,Jay Z
327,When were Beyonce and Jay Z married?,"April 4, 2008"
328,Together how records have they sold ?,300 million
329,How did Beyonce deal with the miscarriage of her child?,wrote music
330,Where was Beyonce when she became pregnant?,Paris
331,"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?",'03 Bonnie & Clyde
332,When were Beyoncé and Jay Z married?,"April 4, 2008"
333,How many records combined have Beyoncé and Jay Z sold?,300 million
334,What did Beyoncé describe as the saddest thing in her life?,miscarriage
335,Where did Beyoncé get pregnant?,Paris.
336,Jay Z and Beyonce attended which event together in August of 2011?,MTV Video Music Awards
337,Beyonce confirmed what after performing one of her songs?,her pregnancy
338,How many people watched the 2011 MTV Music Awards?,12.4 million
339,Where did she announce her pregnancy?,2011 MTV Video Music Awards
340,Why was the broadcast the most-watched in history?,Her appearance
341,What even was recorded in the Guinness World Records?,most tweets per second
342,"What was the most searched term in week of Aug 29, 2011?",Beyonce pregnant
343,What song did she perform at the MTV Awards?,Love on Top
344,Where did Beyoncé announce her pregnancy?,2011 MTV Video Music Awards
345,What song did Beyoncé sing prior to announcing her pregnancy?,Love on Top
346,How many people watched the 2011 MTV Video Music Awards?,12.4 million
347,"What was the most searched term on Google for the week of August 29, 2011?",Beyonce pregnant
348,Jay Z has a website called what?,Lifeandtimes.com
349,Which song by Jay Z talked about the pregnancy struggles?,Glory
350,What was the name of Beyonce's daughter?,Blue Ivy Carter
351,At what hospital was the baby delivered?,Lenox Hill Hospital
352,What was the named of the song  dedicated to the child?,Glory
353,What does B.I.C. stand for?,Blue Ivy Carter
354,Who was credited for her cries on the song?,B.I.C.
355,When did Beyoncé give birth to her daughter?,"January 7, 2012"
356,What did Beyoncé and Jay Z name their daughter?,Blue Ivy Carter
357,What song did Jay Z release two days after Blue Ivy was born?,Glory
358,What is included at the end of Glory?,Blue Ivy's cries
359,How was Blue Ivy credited on Glory?,B.I.C.
360,Beyonce and Jay-Z went to a rally for the acquittal of whom?,George Zimmerman
361,Beyonce sang which song during the 2009 presidential inauguration?,America the Beautiful
362,How much did Beyonce raise for Obama at the 40/40 Club?,4 million
363,"What did she endorse on March 26, 2013?",same sex marriage
364,What did they attend in July 2013?,a rally
365,What did she sing at the 2009 Presidential Inauguration?,America the Beautiful
366,What song did Beyoncé perform at the 2009 inauguration of Obama?,America the Beautiful
367,What song did Beyoncé perform at the first inaugural dance for the Obamas.,At Last
368,What social media platform did Beyoncé upload a picture of her paper ballot on?,Tumblr
369,"When did Beyoncé endorse on March 26, 2013?",same sex marriage
370,Beyonce did an interview with which magazine and was asked about feminism?,Vogue
371,Beyonce supported which campaign that encourages leadership in girls?,Ban Bossy campaign
372,Where was Beyonce quoted as saying that she is a modern-day feminist?,Vogue
373,When did she say the she is a feminist?,April 2013
374,What campaign did she contribute to?,Ban Bossy
375,What song did she release in 2013 in response to a speech?,Flawless
376,What does Ban Bossy encourage?,leadership in girls
377,"Beyoncé used words from which Nigerian author in her song, Flawless?",Chimamanda Ngozi Adichie
378,Which campaign does Beyoncé contribute to that encourages leadership in females?,Ban Bossy
379,Beyonce signed a letter with who in 2015?,the ONE Campaign
380,An important UN summit took place when?,September 2015
381,The letter Beyonce signed focused on what issue?,women
382,What had to be set in developing funding?,priorities
383,When did Beyonce sign a letter for ONE Campaign?,2015
384,To whom was the letter addressed?,Angela Merkel and Nkosazana Dlamini-Zuma
385,Who are these women?,head of the G7 in Germany
386,When will they meet?,September 2015
387,Who did Beyoncé sign a letter for in 2015?,the ONE Campaign
388,Who was the letter addressed to?,Angela Merkel and Nkosazana Dlamini-Zuma
389,What was Angela Merkel serving as in relation to the letter?,the head of the G7 in Germany
390,What did the letter want the two recipients to focus on?,women
391,Beyonce along with Jay Z met with whom's family after their death?,Freddie Gray
392,Beyonce with Jay Z gave lots of money to bail who out of prison?,protesters
393,Who's death caused this protest?,Freddie Gray
394,How much bail money did they spend?,thousands of dollars
395,Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,Madonna and Celine Dion
396,Beyonce and Jay Z got a Guinness World record for what in 2009?,highest-earning power couple
397,Beyonce became the highest-paid black musician in which year?,2014
398,"Up until May of 2015, how much is Beyonce's total worth?",250 million
399,"Between 2008 and 2009, which entertainers did Beyonce beat in earnings?",Madonna and Celine Dion
400,In 2012 who placed Beyonce at 16 in the Celebrity List?,Forbes
401,When did she and Jay Z become the highest paid black celebrity couple?,2011
402,How much did she earn in 2014?,115 million
403,What is Beyonce's net worth in 2015?,250 million
404,"Who began reporting Beyoncé's annual earnings, starting in 2008?",Forbes
405,"When did Beyoncé become the highest paid black musician, ever?",April 2014.
406,Who predicted that Beyoncé would become the highest paid black entertainer?,MTV
407,When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,2013
408,Beyonce's range in singing is how many octaves?,four
409,who talked about Beyonce's tone and timbre as distinctive?,Jody Rosen
410,"Which critic called Beyonce's voice ""versatile""?",The Daily Mail
411,Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,hip hop
412,How many octaves does Beyonce have?,four octaves
413,What did the Daily Mail say about Beyonce's voice?,versatile
414,What does Rosen claim influenced Beyonce's style?,hip hop
415,What do other critics claim?,praise her range and power
416,How many octaves does Beyoncé's voice span?,four
417,Why is Beyoncé known as the centerpiece of Destiny's Child?,Her vocal abilities
418,New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,tart
419,What does Jody Rosen say influenced Beyoncé's vocal style?,the hip hop era
420,Music from Beyonce is generally categorized as what genre?,R&B
421,"Besides R&B, which genres does Beyonce dabble in?","pop, soul and funk"
422,"Beyonce mostly releases English songs, but what other language did she release songs?",Spanish
423,Spanish songs Beyonce released were for what?,re-release of B'Day
424,Beyonce was coached for her Spanish songs by which American?,Rudy Perez
425,What kind of music does Beyonce do?,R&B
426,What language does she mainly sing?,English
427,What other language has she sung?,Spanish
428,What album did she re-release in Spanish?,B'Day
429,What style of music does Beyoncé usually perform?,R&B
430,What language did Beyoncé release several songs in?,Spanish
431,Who coached Beyoncé for her Spanish recordings?,Rudy Perez.
432,What album did the Spanish songs come from?,B'Day.
433,Beyonce does not create which aspect of her music?,beats
434,An example of a song aimed towards a male audience is what?,Cater 2 U
435,What theme was Beyonce's early music?,female-empowerment
436,With Jay Z what were her new themes?,man-tending anthems
437,What does she get credits for in her music?,co-producing credits
438,What part of production does she do?,melodies
439,Beyoncé's early recordings empowered who?,Women
440,"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?",co-producing
441,"Rather than beats, what two things does Beyoncé usually come up with for producers?",melodies and ideas
442,Pop Songwriter of the Year award in 2001 was awarded to whom?,Beyoncé
443,Beyonce received the Pop Songwriter of the Year award at which event?,"American Society of Composers, Authors, and Publishers Pop Music Awards"
444,Beyonce has the same number of writing credits on number one singles as whom?,Diane Warren
445,Beyonce joined 2 other women on what list from Billboard magazine in 2011?,Top 20 Hot 100 Songwriters
446,When did Beyonce become the first African American woman to win Pop songwriter of the year?,2001
447,What place is she tied for in songwriting credits?,third
448,Who listed her at number 17 in their list of  Top 20 hot 100 Songwriters?,Billboard magazine
449,Where does she place in writing credits  for three number one songs?,third woman
450,"What did Beyoncé win in 2001, making her the first black woman to do so?",Pop Songwriter of the Year award
451,Who gave Beyoncé the Pop Songwriter of the Year award in 2001?,"the American Society of Composers, Authors, and Publishers Pop Music Awards."
452,"Beyoncé was one of how many women on Billboard magazine's 2011 ""Top 20 Hot 100 Songwriters"" list.",three
453,What number was Beyoncé on the Top 20 Hot 100 Songwriters list?,17
454,To whom did Beyonce credit as her major influence on her music?,Michael Jackson
455,How old was Beyonce when she went to her first Michael Jackson concert as a kid?,five
456,Beyonce gave a tribute award to who in 2006?,Michael Jackson
457,Beyonce cites Mariah Carey to making her want to start doing what?,vocal runs
458,Who influenced Beyonce?,Michael Jackson
459,What song by Mariah Carey influenced her?,Vision of Love
460,Who is Beyoncé's biggest musical influence?,Michael Jackson
461,What was Beyoncé's first concert?,Michael Jackson
462,Who does Beyoncé feel is an all-around entertainer?,Diana Ross
463,"Who does she credit for the inspiration to ""get up there and do what she did""?",Whitney Houston
464,What song caused Beyoncé to practice runs as a child?,Vision of Love
465,What themes were influenced by her acting role in Dreamgirls?,feminism and female empowerment
466,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",Josephine Baker
